Setting,App,Feature,Precision,Recall,F1
within_apps,addressbook,content_tags,0.92,0.92,0.92
within_apps,claroline,content_tags,1.0,0.6111111111111112,0.7586206896551725
within_apps,dimeshift,content_tags,0.13725490196078433,1.0,0.24137931034482762
within_apps,mantisbt,content_tags,0.8,0.9056603773584906,0.8495575221238938
within_apps,mrbs,content_tags,0.8666666666666667,0.9285714285714286,0.896551724137931
within_apps,pagekit,content_tags,1.0,0.6,0.7499999999999999
within_apps,petclinic,content_tags,0.875,1.0,0.9333333333333333
within_apps,phoenix,content_tags,0.47058823529411764,0.8,0.5925925925925927
within_apps,ppma,content_tags,0.23232323232323232,1.0,0.3770491803278689
within_apps,addressbook,content,0.8064516129032258,1.0,0.8928571428571428
within_apps,claroline,content,0.8717948717948718,0.9444444444444444,0.9066666666666667
within_apps,dimeshift,content,0.22580645161290322,1.0,0.3684210526315789
within_apps,mantisbt,content,0.6455696202531646,0.9622641509433962,0.7727272727272728
within_apps,mrbs,content,0.9333333333333333,1.0,0.9655172413793104
within_apps,pagekit,content,0.8947368421052632,0.85,0.8717948717948718
within_apps,petclinic,content,1.0,1.0,1.0
within_apps,phoenix,content,0.5882352941176471,1.0,0.7407407407407407
within_apps,ppma,content,0.23232323232323232,1.0,0.3770491803278689
within_apps,addressbook,tags,0.92,0.92,0.92
within_apps,claroline,tags,1.0,0.6111111111111112,0.7586206896551725
within_apps,dimeshift,tags,0.16153846153846155,1.0,0.2781456953642384
within_apps,mantisbt,tags,1.0,0.8679245283018868,0.9292929292929293
within_apps,mrbs,tags,0.8333333333333334,0.7142857142857143,0.7692307692307692
within_apps,pagekit,tags,1.0,0.6,0.7499999999999999
within_apps,petclinic,tags,0.3793103448275862,0.7857142857142857,0.5116279069767441
within_apps,phoenix,tags,0.6363636363636364,0.7,0.6666666666666666
within_apps,ppma,tags,0.23232323232323232,1.0,0.3770491803278689
