Embedding,Classifier,Precision,Accuracy,Recall,F1 (clone as positive class),F1 (distinct as positive class)
Content only,Nearest Neighbors,0.9507829977628636,0.9597495527728086,0.9032943676939427,0.9264305177111716,0.9722963266981325
Content only,Linear SVM,0.9732246798603027,0.9618366129994037,0.8884165781083954,0.9288888888888889,0.9739201303993481
Content only,RBF SVM,0.9732246798603027,0.9618366129994037,0.8884165781083954,0.9288888888888889,0.9739201303993481
Content only,Decision Tree,0.9596864501679732,0.964221824686941,0.9107332624867163,0.9345692475463467,0.9753795650389823
Content only,Random Forest,0.9583802024746907,0.962432915921288,0.9054197662061636,0.9311475409836065,0.9741697416974169
Content only,Neural Net,0.967741935483871,0.9615384615384616,0.8926673751328374,0.9286898839137645,0.9736680955296999
Content only,AdaBoost,0.9512195121951219,0.9621347644603458,0.9117959617428267,0.9310906131307649,0.9738951695786229
Content only,Naive Bayes,0.9659863945578231,0.9645199761478831,0.9054197662061636,0.9347229840921558,0.9756397134083931
Content only,QDA,0.9659863945578231,0.9645199761478831,0.9054197662061636,0.9347229840921558,0.9756397134083931
Tags only,Nearest Neighbors,0.9633333333333334,0.968097793679189,0.9213602550478215,0.9418794133623032,0.9780152044380522
Tags only,Linear SVM,0.969264544456641,0.9743589743589743,0.9383634431455898,0.9535637149028078,0.9822899505766063
Tags only,RBF SVM,0.9776035834266518,0.97376267143709,0.9277364505844846,0.9520174482006544,0.9819450143619205
Tags only,Decision Tree,0.9702315325248071,0.97376267143709,0.9351753453772582,0.9523809523809523,0.9818930041152263
Tags only,Random Forest,0.9700332963374029,0.9719737626714371,0.9287991498405951,0.9489685124864278,0.9806822852445541
Tags only,Neural Net,0.9683060109289617,0.9749552772808586,0.9415515409139213,0.9547413793103449,0.9826875515251442
Tags only,AdaBoost,0.9651416122004357,0.9740608228980322,0.9415515409139213,0.9532006455083378,0.982058156320891
Tags only,Naive Bayes,0.9652173913043478,0.9746571258199165,0.9436769394261424,0.9543256313809779,0.9824633794099443
Tags only,QDA,0.9652173913043478,0.9746571258199165,0.9436769394261424,0.9543256313809779,0.9824633794099443
Content and tags,Nearest Neighbors,0.9596069868995634,0.9704830053667263,0.9341126461211477,0.9466882067851374,0.979591836734694
Content and tags,Linear SVM,0.9751131221719457,0.969886702444842,0.9160467587672688,0.9446575342465754,0.9793159942658202
Content and tags,RBF SVM,0.96875,0.969886702444842,0.922422954303932,0.9450190528034839,0.9792650379798811
Content and tags,Decision Tree,0.9606557377049181,0.9707811568276684,0.9341126461211477,0.947198275862069,0.9798021434460016
Content and tags,Random Forest,0.9625962596259626,0.9701848539057841,0.9298618490967057,0.945945945945946,0.9794153972828324
Content and tags,Neural Net,0.967670011148272,0.9695885509838998,0.922422954303932,0.9445048966267682,0.9790554414784394
Content and tags,AdaBoost,0.9587404994571118,0.9713774597495528,0.9383634431455898,0.9484425349087002,0.9801898472967397
Content and tags,Naive Bayes,0.9719101123595506,0.969886702444842,0.9192348565356004,0.9448388858547243,0.9792905474677056
Content and tags,QDA,0.9719101123595506,0.969886702444842,0.9192348565356004,0.9448388858547243,0.9792905474677056
Ensamble,Nearest Neighbors,0.9720430107526882,0.981216457960644,0.9606801275239107,0.9663281667557457,0.9869753979739507
Ensamble,Linear SVM,0.9798206278026906,0.9746571258199165,0.9287991498405951,0.9536279323513367,0.9825641025641025
Ensamble,RBF SVM,0.9735391400220507,0.975551580202743,0.9383634431455898,0.9556277056277056,0.9831275720164608
Ensamble,Decision Tree,0.9665587918015103,0.977340488968396,0.9521785334750266,0.9593147751605995,0.9842975206611568
Ensamble,Random Forest,0.9716157205240175,0.9770423375074538,0.9458023379383634,0.9585352719439958,0.9841269841269842
Ensamble,Neural Net,0.9724061810154525,0.9746571258199165,0.9362380446333688,0.9539794260963725,0.9825138860316809
Ensamble,AdaBoost,0.966304347826087,0.9752534287418009,0.944739638682253,0.9554003224073079,0.982876005776769
Ensamble,Naive Bayes,0.9745575221238938,0.9752534287418009,0.9362380446333688,0.9550135501355014,0.9829323462882994
Ensamble,QDA,0.9821428571428571,0.9770423375074538,0.9351753453772582,0.9580838323353293,0.98419215766783
